numeros de tarjeta validas

No. | Emisor | Numero

1|American Express|342600982049862
2|American Express|349632858889157
3|American Express|344991922808204
4|American Express|347502449904736
5|American Express|378276074003914
6|American Express|343909098126657
7|American Express|344824886606670
8|American Express|377045498284462
9|American Express|376319485124960
10|American Express|376013708774392
11|American Express|349121678264171
12|American Express|378983875666662
13|American Express|344977655591075
14|American Express|371444893484239
15|American Express|373265272743616
16|American Express|349781720280184
17|American Express|341942898929345
18|American Express|374331736336006
19|American Express|371618643087323
20|American Express|375893266496376


1|Mastercard|5517533677756426
2|Mastercard|5195066608504614
3|Mastercard|5195489345538655
4|Mastercard|5318130801276248
5|Mastercard|5314483346049230
6|Mastercard|5515949887036007
7|Mastercard|5960086730466626
8|Mastercard|5221731733753927
9|Mastercard|5536538927616970
10|Mastercard|5894368863162268
11|Mastercard|5893132484639281
12|Mastercard|5170137692238473
13|Mastercard|5378137673127778
14|Mastercard|5475514040307857
15|Mastercard|5728317185471503
16|Mastercard|5238946565341861


1|Visa|4066965505590874
2|Visa|4231002235446035
3|Visa|4454522322458395
4|Visa|4579905232744139
5|Visa|4417466053875466
6|Visa|4246869511037248
7|Visa|4918685813991511
8|Visa|4969981780799294
9|Visa|4304903234223931
10|Visa|4231544374034213
11|Visa|4072600872522281
12|Visa|4252197588254681
13|Visa|4946124810128923
14|Visa|4031098517794128
15|Visa|4295734270665102
16|Visa|4190805288383221
17|Visa|4714832560103165
18|Visa|4644028574920307
19|Visa|4489575992157688
20|Visa|4189343746124501
